0;RT @CommuterBoston: ACCIDENT (Wellesley, MA): RT-9 East near Cedar St - involving a motorcycle and a car - possible lane restrictions;YES
1;RT @CommuterBoston: ACCIDENT: I-290 East before I-495 (Exit #26) - 2-car accident with possible lane blockages;YES
744;RT @alif50911: Die menganjing aku main snooker, okey aku pulak menganjing die ,satu poit RM 1 hahaha goyang beb #snoOker;NO;
745;Was die in Niedersachsen so Autobahn nennen spottet auch jeder Beschreibung #stautweet;NO;
746;YOHE # The Unforgettable .....MBUYU # The Baobab / The wise of the wiserCountry of origin # CONGO http://t.co/fNjUo43Z4o;NO;
747;Hmmm looks like my fuel efficiency is about 2 MPC highway (Miles per cupcake). http://t.co/bOIoxbNgXh;NO;
748;#News #Boston DA Mass. man threatens to kill Obama even if it takes a lifetime: Watch NewsCenter 5 report The ... http://t.co/oNM9XzeX3M;NO;
749;#MAtraffic Alert: Newton- I-95N prior to I-90, truck accident. 2 lanes closed.;YES
750;RT @MassDOT: #MAtraffic Alert: Newton- I-95N prior to I-90, truck accident. 2 lanes closed.;YES
751;Pacers F Paul George undergoes surgery for reported compound fracture of tibia and fibula - via @SportsCenter http://t.co/ode2pUUOSP;NO;
752;If you smoke like I smoke then you''re high like every day;NO;
753;RT @NECN: Police chief back on the job after serious crash http://t.co/YvIhyTbz6R;YES
754;Paul George injury video is the worst injury clip I''ve seen, ever;NO;
755;ICYMI: #Exclusive: Police Chief Back on the Job After Serious Crash | NECN http://t.co/2vjb8jbWwQ @necn;YES
756;#Intern #electrical Assistant Electrical Engineer: Burns & McDonnell - Kansas City, MO - S... http://t.co/gAsAT4jc7i #Missouri #engineer;NO;
757;Question of the Day! What elements do you think make for a great car chase? What is the greatest car chase in... http://t.co/Seo4eoOpdF;NO;
758;#Boston #News Oscar Pistorius'' brother ''badly hurt'' in car crash: Oscar Pistorius'' brother Carl was badly hur... http://t.co/2aFDovCiDD;YES
759;Opened report via iPhone at N42.29 E71.05 http://t.co/mZ22vYBex4. Car battery on neponset at garvey pk.;NO;
760;The Byron Buxton Auto streak continues for us!  This time was a Blue Jumbo Relic Auto /199! #NSCC #NSCC14 #Twins http://t.co/DCAUhVChgh;NO;
761;Most cities report seasonal #rain in millimeters and compare to past records.In #Karachi it is reported in #deaths. http://t.co/CFqhEUSiI5;NO;
762;RT @AdilNajam: Most cities report seasonal #rain in millimeters and compare to past records.In #Karachi it is reported in #deaths. http://…;NO;
763;Awful injury to basketball player Paul George last night.  I hope author John Ringo is injury free this weekend;NO;
764;Dead cat in the road, that will ruin your day pretty quickly;NO;
765;Holy sh*t!! The best car crash ever - Unexpected Entertainment http://t.co/7A6La0YGUm;YES
766;Opened report via iPhone at 11 Worcester Sq http://t.co/2sst53dlqp. Ny plated car in resident parking since early yesterday. no ticket. w...;NO;
767;#Boston #Jobs WANTED: Experienced Auto Body Technician (442 Main St. Tewksbury): Vernon''s Auto Body currently ... http://t.co/wLZubyypHs;NO;
768;Handle a book as a bee does a flower, extract its sweetness but do not damage it. http://t.co/73gKsWGqtZ;NO;
769;.@Amazon Fire: 5 Things Missing by @phonescooper via @InformationWeek http://t.co/XS7jd4p8Va <before you shop #fire;NO;
770;Studies have revealed that intervals burn more fat for fuel during a workout than steady-state cardio! @GetSkinnyBook http://t.co/GqO1OOD1Bg;NO;
771;I really hope my car don''t reek of vomit;NO;
772;RT @SarahDussault: Studies have revealed that intervals burn more fat for fuel during a workout than steady-state cardio! @GetSkinnyBook ht…;NO;
773;Bro, you can''t just cut traffic when you''re tugging a boat behind you. @JaneD827;NO;
774;@Reince good thing here is without electricity, we''ll abandon our homes, and move back into caves, without electricity, we''ll be 4th world;NO;
775;Kecoa kentut setiap 15 menit dan terus mengeluarkan gas metana [kentut] selama 18 jam setelah kematian;NO;
776;NEW THIS MORNING: Fire crews in Weymouth investigating 2-alarm fire from last night. Update at 9:30 @NECN;YES
777;@en_jajaja @harryhousins Kurt Cobain is dead, he died like 20 years ago!;NO;
778;RT @MdUNH: Behind every traffic jam is a moron who''s  doing something fucking stupid.;NO;
779;Calling all cars!!  I mean A car. One car will suffice.;NO;
780;This car is costing me a fortune. Berdine is bleeding me dry.;NO;
781;RT @jonchesto: Yankee to break ground on $7B natural gas expansion, part of a massive natural gas effort in Conn. http://t.co/qUizxx3b8a;NO;
782;Age has nothing to do with dying. Young people die and old people die. God is in charge. No one else. If you... http://t.co/MxykINOWwG;NO;
783;Police investigate report of assault and kidnapping http://t.co/5axCYMgg16;YES
784;Chelsea - Box 32 struck for 75 Grove St. Odor of smoke in the building, fire alarms sounding;YES
785;A year ago today I was in a car accident and lost the most important person in my life, my best… http://t.co/X5N2NXj1Ls;YES
786;God gave us coal. Ergo, we must burn it. Ergo, we must burn everything God gave us. Obviously. http://t.co/ab02JtCtCr via @EliasHinckley;NO;
787;MT @AdilNajam: Most cities report seasonal #rain in ml, compare to past records. In #Karachi it’s reported in #deaths http://t.co/jdgRAOT3ao;NO;
788;RT @beenasarwar: MT @AdilNajam: Most cities report seasonal #rain in ml, compare to past records. In #Karachi it’s reported in #deaths http…;NO;
789;@Atroncoso__98 this shit was reported 15 hours ago wtf this nigga didn''t die. http://t.co/Y29ngqXkqQ;NO;
790;1 injured in motorcycle vs. car crash in Ludlow http://t.co/DEeF1EIWrm #Massachusetts #News #MA #Boston;YES
791;RT @AnthonyNotEarl: @Atroncoso__98 this shit was reported 15 hours ago wtf this nigga didn''t die. http://t.co/Y29ngqXkqQ;NO;
792;Tidur satu jam di siang hari bisa meningkatkan kewaspadaan selama 10 jam setelahnya.;NO;
793;Email from an Apple engineer: 1. Thanking me for my bug report, 2. Confirming they had been scratching heads about related crash reports,;NO;
794;Deadly explosion at China factory that makes GM auto parts http://t.co/jBzcEsjeKF via @CSMWorldDesk;YES
795;RT @csmonitor: Deadly explosion at China factory that makes GM auto parts http://t.co/jBzcEsjeKF via @CSMWorldDesk;YES
796;Wreck Diving & PADI Wreck Course in Key Largo - http://t.co/LTUcvPRISN;NO;
797;To Amos Oz 1) I would call the police and 2) I have some confidence the police would not kill the child on my neighbors lap and they 1/2;NO;
798;Should your #driverless car kill you to save a child’s life?http://t.co/fWkx3iXQcr;NO;
799;Test your smoke alarm knowledge with the interactive 2014 Fire Prevention Week quiz! http://t.co/vV2lBs56eU #FPW2014;NO;
800;#Boston #News Report: Body Found in Duxbury Box May Have Been ‘Drug Mule’: Police continue to investigate the case. http://t.co/5TweAgtcPA;NO;
801;Melrose police vs Melrose fire softball game Tuesday at 5 #NoYuppiesAllowed;NO;
802;RT @Sparky_Fire_Dog: Test your smoke alarm knowledge with the interactive 2014 Fire Prevention Week quiz! http://t.co/vV2lBs56eU #FPW2014;NO;
803;Going on a road trip this weekend?  Make it a #solar road trip! #PutSolarOnIt #climatehttp://t.co/daLjmddhCJ;NO;
804;Just got into a car accident cause I had to move my truck from getting towed...great. Should''ve just let them tow me;YES
805;Measured by @ericsson, data traffic continued to grow into Q1 ''14, while voice traffic remained steady. http://t.co/cXiDSwXk7N #Akamai_SOTI;NO;
806;wake up make coffee smoke bowl smoke cigarette go to work;NO;
807;Actress Alfre Woodard joins Rev. Al Sharpton at rally for Eric Garner, NY man who died in confrontation with police. http://t.co/DnnyqxALI1;YES
808;On the ferry again, a fun way to skip some south shore traffic. More #extremecommuting :) http://t.co/YSe61WRyBX;NO;
809;Police: 3-Year-Old Girl Killed, 3 Adults Injured In Grays Ferry Shooting « CBS Philly http://t.co/gHKbhZpoen;YES
810;RT @Akamai: Measured by @ericsson, data traffic continued to grow into Q1 ''14, while voice traffic remained steady. http://t.co/cXiDSwXk7N …;NO;
811;RT @RonMott: Actress Alfre Woodard joins Rev. Al Sharpton at rally for Eric Garner, NY man who died in confrontation with police. http://t.…;NO;
812;Have way too many cherries than I know what to do with so cherry chia jam for toast and yogurt it is! #jam #cherries http://t.co/AwKbPJVdLz;NO;
813;RT @DillPickleGear: On the ferry again, a fun way to skip some south shore traffic. More #extremecommuting :) http://t.co/YSe61WRyBX;NO;
814;Just remembered that there are people whose only notion of loving nature is to chase it in a truck and kill it with a gun. So, you know.;NO;
815;It ain''t even hit 12 yet “@MyAssholePops: Zeeti look like he jack off to y''all twitpics in his car on break  http://t.co/qIvrY6kKWh”;NO;
816;Just found out she''s never had a lobster roll and almost pulled over on the highway and set off a flare for help @KZACCattack;NO;
817;TRAFFIC. ARE YOU SERIOUS?! THERES FUCKING TRAFFIC.;NO;
818;Hit the Open Road With These 25 Hacks for The Best Road Trip Ever: The only true way to experience America to ... http://t.co/Dcv1hAQDhj;NO;
819;RT @asadqh: We should ban any car that has a 0-60 time greater than 7 seconds from highway on-ramps. You''re going to get us both killed.;NO;
820;I like a little Captain in my coke, you know I like a little good time in my smoke 🎶👢;NO;
821;I can''t fucking stand when girls will dead try and act cute to turnt up shit. I be dead confused like I need answers.;NO;
822;RT @OfficialTedSays: Police: you’re under arrest me: no i’m not police: shit;NO;
823;@PeoplezPen No - he broke both tibia and fibula with an open fracture. Its disgusting. Lucked out that no additional damage to anything else;NO;
824;Only good thing about traffic is listening to the rain hit the roof of my car;NO;
825;I might get money fuck bitches kill niggas smoke weed I''m married to this real shit ima wife Beater No Sleeves;NO;
826;Many who report sexual violence in the military report experiencing it at least twice while serving. http://t.co/FLQp7Jw8Vl;YES
827;“@He_MeloMoakf: I might get money fuck bitches kill niggas smoke weed I''m married to this real shit ima wife Beater No Sleeves”;NO;
828;My prayer goes to Taiwan gas explosion @BBCWorld http://t.co/BtfH3NfMIn  http://t.co/olsZC1EpU9;YES
829;RT @KidLee_: “@He_MeloMoakf: I might get money fuck bitches kill niggas smoke weed I''m married to this real shit ima wife Beater No Sleeves”;NO;
830;RT @bomani_jones i don''t do injury pr0n. avoided damn near every dreadful injury of the last 10 years. don''t think i missed out at all.;NO;
831;RT @Meltaid_: It''s so annoying watching optic play every time they get a kill everyone starts screaming like he got a amazing kill;NO;
832;Saugus - Working Fire - fire is in a 2.5 brick 10 unit apartments fires knocked down 1 LSO checking for extension. M/A for coverage;YES
833;RT @TMGormanPhotos: Saugus - Working Fire - fire is in a 2.5 brick 10 unit apartments fires knocked down 1 LSO checking for extension. M/A …;YES
834;She left the key in the car and I drove around the block so that I could watch her reaction when she sees the car wasn''t there lol 😈;NO;
835;Wishing the @twitter block feature blocked ALL interactions from those on the list. Unwanted creepy stalkers be damned! #internetkarma;NO;
836;Just causally in traffic on the highway eating a carton of ice cream with @TGauth10;NO;
837;Break up her weed while I break down my issues;NO;
838;RT @He_MeloMoakf: Break up her weed while I break down my issues;NO;
839;RT if you control the radio/music in your car on road trips.;NO;
840;Helped nearby drivers by reporting a moderate traffic jam on State Hwy 28, Orleans on @waze - Drive Social. http://t.co/msnGIarBmC;NO;
841;RT @upromise: RT if you control the radio/music in your car on road trips.;NO;
842;TONIGHT IS THE NIGHT! Everyone get ready for the #ndulge boat cruise. Boat starts boarding at 8 and… http://t.co/f50XjILnKi;NO;
843;@realDonaldTrump @Convertbond   Cue movie Contagion these idiots in DC will kill us all;NO;
844;Los Angeles authorities weighing whether they can legally block hobbyists from flying drones over police stations: http://t.co/SS2kQTP2Tz;NO;
845;RT @suazop_: I can''t fucking stand when girls will dead try and act cute to turnt up shit. I be dead confused like I need answers.;NO;
846;68 killed and nearly 200 injured in explosion, fire at a Chinese factory makes wheel hubs for @GM: http://t.co/idxNJZVvCp;YES
847;Wir treffen Menschen - von manchen lernen wir.. andere begleiten uns & andere lieben uns als die, die wir tief in uns sind..;NO;
848;RT @Amareus: Wir treffen Menschen - von manchen lernen wir.. andere begleiten uns & andere lieben uns als die, die wir tief in uns sind..;NO;
849;If you own an electric car, the price you''re paying for electricity is equivalent to about 75 cents per gallon: http://t.co/riia8hujAj;NO;
850;RT @csmonitor: If you own an electric car, the price you''re paying for electricity is equivalent to about 75 cents per gallon: http://t.co/…;NO;
851;@egomatter last time i saw somethin like that was in left 4 dead 2 when zombies started fallin out of an air vent like it had sprung a leak;NO;
852;my car was dead last to be let on to the ferry. SOMEONE UP THERE LOVES ME http://t.co/khDRpwjqy6;NO;
853;@NatMorton3 so what is the total # of kids disciplined via dese data, and what is total # of charter kids in all?;NO;
854;RT @grok_: Los Angeles authorities weighing whether they can legally block hobbyists from flying drones over police stations: http://t.co/S…;NO;
855;Traffic traffic lookin for my Chapstick;NO;
856;#Givenchy #New #Loveit #Luxury #Fragrance #Scent http://t.co/939BvmTWI2;NO;
857;#NowPlaying: You Spin Me Right Round by Dead or Alive - Every road trip needs #80s music!! ☺️✌️;NO;
858;Feeling stuck? Download my FREE Writer’s Block Tips to learn how journaling can cure your writer’s block - write... http://t.co/q0fAv3Y8Uz;NO;
859;Feeling stuck? Download my FREE Writer’s Block Tips to learn how journaling can cure your writer’s block - write nowhttp://t.co/8JFcUnNScT;NO;
860;@Makai999 # i would die to get in;NO;
861;The Car Connection: No, You Can''t Drive Better Than An Autonomous Car.  http://t.co/T4iU5aaMyS;NO;
862;The Three Living and the Three Dead - A recurring theme in medieval art is The Three Living and the Three Dead. ... http://t.co/QxVFttES9v;NO;
863;EMTs Break Into Hot Car In Hoboken After Mistaking Doll For Baby http://t.co/OvDO4ZZnnP #Parenting #Parents;NO;
864;Rides on the fire truck at Celebrate Burlington Day provided by Retired Burlington Firefighter Al Fay. http://t.co/mKVHZ9IItJ;NO;
865;@kenzotenmas IF WE CANNOT BREAK THE WORLDS SHELL WE DIE WITHOUT EVER BEING TRULY BORN;NO;
866;Dropped my phone on the way into dunks . Damage report. Small crack by front facing camera. Day = ruined 😔👎;NO;
867;RT @JoeDiasOfficial: Dropped my phone on the way into dunks . Damage report. Small crack by front facing camera. Day = ruined 😔👎;NO;
868;Spend my break in my car...;NO;
869;@1DwwaupdatesWW wait whats in the truck is it just perfume and merch;NO;
870;Smoke pouring from home at scene of 2-alarm fire on Durham St. in Lawrence http://t.co/WiYR8C9BvS;YES
871;RT @LaurenD_Trib: Smoke pouring from home at scene of 2-alarm fire on Durham St. in Lawrence http://t.co/WiYR8C9BvS;YES
872;Hydrant on S. Broadway tapped to fight Durham St. fire. Smoke still billowing from home, 1st floor windows blown out http://t.co/1NK2gW1hwz;YES
873;2 alarm fire at 18 Durham St in Lawrence.  All companies on the scene. #wbz;YES
874;RT @LaurenD_Trib: Hydrant on S. Broadway tapped to fight Durham St. fire. Smoke still billowing from home, 1st floor windows blown out http…;YES
875;Tryna break the chains but the chains only break me.;NO;
876;I know a car is a car , but why you got a tricked out 1993 Mazda .. lol , so embarrassing !;NO;
877;Walk into the break room and there''s some film with a kid and a robot break dancing. Uh...;NO;
878;@Andrew_Mac617 by today, I meant 8/2/79. Obviously he didn''t die today. We''re all gonna die today with these Ebola shenanigans.;NO;
879;RT @MarkKWBZ: 2 alarm fire at 18 Durham St in Lawrence.  All companies on the scene. #wbz;YES
880;@LeahKittyS Young people die all the time. Could be a sudden illness or accident.;NO;
881;Helped nearby drivers by reporting a heavy traffic jam on Charlton Rd, Sturbridge on @waze - Drive Social. http://t.co/hv1d5SliDH;NO;
882;Fuel for my day of recipe testing: rustic grains, buttery egg, and tomato jam. #snacks #latergram… http://t.co/T3SQAllLuv;NO;
883;Accident causing traffic yesterday and two accidents today. Something doesn''t want me coming home...;YES
884;Car is packed. I''m on the road. See ya America. Thanks for an amazing seven years. Hong Kong, here I… http://t.co/YXoU6yKQDE;NO;
885;Fire at 18 Durham St. in Lawrence is now at 3 alarms. Firefighters still working to knock it down. Heavy smoke pouring from home. #wbz;YES
886;Got my Equifax credit report in the mail... I was worried because they couldn''t verify my ID online, but everything on the report looks OK.;NO;
887;@graceishuman A police offical once said Black men had a propensity to die in a choke hold. Because excess force *surely* wasn''t to blame.;NO;
888;RT @renjender A police official once said Black men had a propensity to die in a choke hold. Because excess force *surely* wasn''t to blame.;NO;
889;The police can kill you with impunity. Why aren''t you afraid? Because you have excellent reasons to assume that that will never be you.;NO;
890;RT @graceishuman: The police can kill you with impunity. Why aren''t you afraid? Because you have excellent reasons to assume that that will…;NO;
891;RT @graceishuman: RT @renjender A police official once said Black men had a propensity to die in a choke hold. Because excess force *surely…;NO;
892;@TumblrTXT here on tumblr we''re the most tolerant of all! Unless we disagree w you in which case go kill yourself with fire bc I CANT EVEN;NO;
893;RT @SocialInBoston: Serious crash closes Route 9 several injured: Route 9 is closed after a serious crash involving a camper and car. http…;YES
894;JUST IN: Officials in Stoughton, Mass. confirm Porter Street is closed after a gas leak;YES
895;If stuck in a traffic jam in Beijing, you can pay a service $60 for to be rescued on a motorbike, while someone else drives your car home!;NO;
896;Sports.DJ Wire: Report: Jameis Winston Detained By Police At Gunpoint In 2012… http://t.co/DnNqwoW8Ek Visit sports.dj;YES
897;Sports.DJ Wire: Report: Jameis Winston Detained By Police At Gunpoint In 2012… http://t.co/N3JjwM162E Visit sports.dj;NO;
898;@PayMe4Graphics @mbarr4635 AND HE HAS THE NERVE TO TELL ME TO DIE FA FUQ THIS LONG ASS ARMED BEAST NEEDA TO DIE;NO;
899;@AXCL0912 I mean handcuffs and police officers and human K-9 units could be a fun scene :P;NO;
900;@riteormite @roberteleestool @ClassicDrebos @BurgerBumps @bhole75 @Pattikkus good coke shouldn''t have your nose bleeding;NO;
901;Listening to random access memories cover to cover for the 100th time;NO;
902;I''m guessing their auto club doesn''t cover it. Too bad. @israel_shield @JCCWatch;NO;
903;RT @mike_truman: I''m guessing their auto club doesn''t cover it. Too bad. @israel_shield @JCCWatch;NO;
904;Plug-in electric car sales rose in July, but in small numbers: US plug-in electric car sales rose... http://t.co/6SiiR3lbSx via @CSMecon;NO;
905;RT @csmonitor: Plug-in electric car sales rose in July, but in small numbers: US plug-in electric car sales rose... http://t.co/6SiiR3lbSx …;NO;
906;“@Skippy9474: One of the best #Marvel scenes? The car chasing scene with Nick Fury in #CaptainAmerica2” TRUE STORY.;NO;
907;MamaCass Elliot died in a London apartment in 1974. Four years later Keith Moon would die in the same apartment.;NO;
908;@aflacina fast food ☕️ > gas station or truck stop ☕️. More 💰 tho.;NO;
909;#ASPAdogKillers Razvan Bancescu Head of Dog abusers ASPA Bucharest. He Caused car crash. And tries to hit a women https://t.co/KQ9RbngDle;YES
910;#Job #Boston Auto Repair Technician (Concord): Part Time Auto Tech for Monday Wednesday Friday each Week Part... http://t.co/4AlclEj4Xv;NO;
911;Put the fire to a hater, and smoke a nigga;NO;
912;RT @kimczwicker: #ASPAdogKillers Razvan Bancescu Head of Dog abusers ASPA Bucharest. He Caused car crash. And tries to hit a women https://…;YES
913;James Harden is the Smoke of @DrewLeague ... just appears out of nowhere to wreck selective havok #TheDrew;NO;
914;@brokeymcpoverty I had to block, report, and get a flu shot to keep him from falling back into my mentions/followers again;NO;
915;RT @1maddskillz: James Harden is the Smoke of @DrewLeague ... just appears out of nowhere to wreck selective havok #TheDrew;NO;
916;@Louis_Tomlinson You''re probably going to kill me next week. So in case I die, just know that I loved you. 😘;NO;
917;More people have died in the US *today* than the total that have died of Ebola anywhere in the world in all of recorded history;NO;
918;RT @kinggary: More people have died in the US *today* than the total that have died of Ebola anywhere in the world in all of recorded histo…;NO;
919;#Boston #Job Auto Repair Technician (Concord): Part Time Auto Tech for Monday Wednesday Friday each Week Part... http://t.co/loSHfIy8Me;NO;
920;#Boston #News Flames Engulf Home in South Lawrence: It is the second blaze in as many days to severely damage ... http://t.co/hjHLhRK8S8;YES
921;#Boston #Jobs Auto Repair Technician (Concord): Part Time Auto Tech for Monday Wednesday Friday each Week Par... http://t.co/G3fOJKdlek;NO;
922;@__SassyKassie MY CAR DIED;NO;
923;#Boston #News Teens injured after car hits Medford utility pole: Teens inside of a car that hit a utility pole... http://t.co/doZsVT4QON;YES
924;But will you DIE for your PEOPLE? Would you DIE for your community? Or are you only committed to dying for those... http://t.co/9B9zfJPdXN;NO;
925;Break Free is SUCH a jam 💃;NO;
926;Crazy money to Subban looks like the rivalry has some fuel to the fire for a while;NO;
927;@PlSSPANTS The road is lined with bodies, each factions'' dead intermingled and indistinguishable. In death they have found common ground.;NO;
928;“@PlainJanee_: Soo ... My block decided to have a block party ...”I was just around there;NO;
929;Don''t burn a bridge & then expect me to send you a boat cause that ass can''t swim.. 😴;NO;
930;RT @kcMilan_: Don''t burn a bridge & then expect me to send you a boat cause that ass can''t swim.. 😴;NO;
931;Police arrest three men, confiscate three guns in separate incidents Boston Police arrested three men and confiscated three guns, includi...;YES
932;I have to reset junk food-free clock because I had one of these. (If it has chocolate, it''s junk food.) @FiberOne http://t.co/1CuCflMDeS;NO;
933;EMTs Break Into Hot Car to Save Doll http://t.co/oGeIF16Sdw;NO;
934;Revere - striking the box for Casablanca restaurant report of heavy smoke showing from the roof;YES
935;@DragonflyJonez almost got in many a self-inflicted car accident because of the drop in Blood on the Leaves;NO;
936;If you gone show love when im dead, you better off tryinna kill me.;NO;
937;If its the first time me and a girl bump uglies and there is a dead silence after, I''ll scream out yes!!! He jammed it in.;NO;
938;I was dead inside before it became cool to be dead inside.;NO;
939;@champTVMG Block Hot Block Hot #ILOVEDISSHIT  http://t.co/t1F8hrrBD2 #Boston #WePutOnToStayOn;NO;
940;#Boston #News Report: Body Found in Duxbury Box May Have Been ‘Drug Mule’: Sources claim a man found dead insi... http://t.co/8RhWkusqqa;NO;
941;I mean I was totally planning to crash into your car until I saw that baby on board bumper sticker.;NO;
942;@Arieljoc @nursey_143 @roberteleestool prob had to go traffic some coke. like he said, u dont make 90k over 3 months tweetin all day;NO;
943;Opened Graffiti report via Android at 11 Royal St Allston http://t.co/Rv25GTaqXv. Tag on utility pole is still here. third report.;NO;
944;Opened Graffiti report via Android at 11 Royal St Allston http://t.co/fYpX1FPi47. Tag on utility pole is still here. third report.;NO;
945;Bout begins with the battle of the rap artists at the line. SlamHer and Elle L. Cool jam. Cosmos up 10-0 after the first jam.;NO;
946;3 dead in New Hampshire crash involving camper http://t.co/KQoPTlWEuR;YES
947;My gas light lit up and the car in front of me is literally going 10 right now;NO;
948;Ahhhh first fire...on the half broken fire pit lol http://t.co/JLkf8NR6kF;NO;
949;@omgjulia when I was researching to acquire cover art, a ballpark rate was $100 for an image, $300 for a cover w/typography, if that helps;NO;
950;creepy dream alert. I was dating a torso created by the Russian gvmt made of human flesh, it came to life and tried to kill me. car chase.;NO;
951;Opened report via Android at 146-156 Newburg St Boston http://t.co/pJSD9Lwfln. Downed wires.;NO;
952;Hardcore goes into the penalty. Time out. Power jam Horrors to start jam 19.;NO;
953;Well this just contradicted what the police stated as cause of the injury.... http://t.co/vJbdncmzlG;NO;
954;# such a boring weekend does anybody have plots? # just saying http://t.co/YJFgKpVK1D;NO;
955;RT @RouseeA: I used to smoke but now I just burn. @johnnyazari http://t.co/gWglxR5gP1;NO;
956;Power jam Cosmos! America comes charging out of the penalty box. Both hammers and packs working together after jam 28.93-50 Cosmos;NO;
957;#Boston #News Israel: Soldier thought captured is dead: Israel''s military has declared dead a soldier who was ... http://t.co/CZsPjWTNea;NO;
958;the #PaulGeorge injury i saw yesterday is not for the faint of heart, awful awful injury for anyone to suffer. Hopefully he can bounce back;NO;
959;Also the #California scene is a lot less competitive than the #Boston scene. No one cares what hospital or company you work for #wholesome;NO;
960;have you ever driven a car with bad brakes? — I''ve never driven a car tbh http://t.co/mfV8H4T85i;NO;
961;Israel would rather kill its soldiers than give Palestinians an inch of bargaining power. Wonder if @rudoren will report on that. @sulliview;NO;
962;RT @onekade: Israel would rather kill its soldiers than give Palestinians an inch of bargaining power. Wonder if @rudoren will report on th…;NO;
963;U/d Chelsea - E3 reports they have a Bus from Joseph''s transportation blocking the roadway requesting a heavy wrecker / No fuel leak;YES
964;Look! a book in my mail box. I''m going to read it cover to mother Fucking cover and then I''m going… http://t.co/1SKkstnnXD;NO;
965;# we will never be royals # have a grt summer everyone #enjoy it b4 its over love you all http://t.co/K7RMK94jhc;NO;
966;Power jam Horrors. Space invader sprints out of the box passes Crash. Crash star passes to America after two minutes 122-83 Cosmos.;NO;
967;Horrors work hard to push the Cosmos jammer out of bounds. Jam is called off as we have an injury.;NO;
968;I smoke 2 joints before I smoke 2 joints then I smoke 2 more;NO;
969;Taiwan''s Crippling Gas Explosion Caught On Camera http://t.co/6L7xK3uFw7 via @TIMEWorld;YES
970;King calls off the jams in time for the Horrors to start jam 45 with a power jam. 143-109 Cosmos;NO;
971;Waltham Ma- Box 2131 Struck for 223 Mood Street. Cronins Landing. Reported fire in room 102.;YES
972;RT @matredsoxfan2: Waltham Ma- Box 2131 Struck for 223 Mood Street. Cronins Landing. Reported fire in room 102.;YES
973;Opened report via iPhone at 81 Revere St http://t.co/Aq5Ar7ViML. Car parked by hydrant for 36 hours.;NO;
974;So my phone got shut off that 5 hour car ride so aka I wanted to die;NO;
975;@barakitty_cat DONT DIE ON MY I WANT TO KILL YOU MYSELF;NO;
976;Inland Taipan snake is the most poisonous snake on Earth. The venom from one bite is enough to kill 100 fully grown men.;NO;
977;Okay I''m sorry but smoking cigs is disgusting. If you''re gonna smoke, at least smoke weed my goodness;NO;
978;Talk shit & block me cus you know I''ll make you wanna kill yourself;NO;
979;Sharknado 2/Sharktopus vs Pteracuda double feature. Kill me. Kill me now.;NO;
980;@realcormega I''m waiting for a rock band to cover Burn. I might have to do it myself;NO;
981;RT @CherBear162: Sharknado 2/Sharktopus vs Pteracuda double feature. Kill me. Kill me now.;NO;
982;@Charlenes2cher @cher @JeNNi_ODay that''s her new perfume scent: dr. Pepper! 😜😘;NO;
983;@Jason_House U can do what I used 2  do. Rock car side 2 side so fuel line can get gas from shaking the gas tank. Now I got a Prius.;NO;
984;RT @AmandaROsborne: @Charlenes2cher @cher @JeNNi_ODay that''s her new perfume scent: dr. Pepper! 😜😘;NO;
985;I''m drunk as duck right next to a humongous truck in a two car garage.;NO;
986;@camilalren DONT TAKE A BOAT IT SPREADS BY BODILY LIQUIDS LIKE HIV STAY AWAY FROM FLUID GO PLANE OR DIE YO I''ve seen World War Z I got this;NO;
987;@djpupdawg your homie Dj obenz will be on the boat cruise pup dawg let me hear that cheerleader ricky blaze remix;NO;
988;RT @badgyalbella: You don’t have to die to be dead to me. I have mental funerals on the daily. RIP though. http://t.co/cuMwx7Eh6z;NO;
989;BREAKING NEWS: 2 injuries have been reported after an explosion in Totowa, New Jersey. READ MORE:... http://t.co/A9Nw5PWagR;YES
990;More on Paul George''s injury, and perspective from another athlete who suffered a bad break: Joe Theismann. Sunday on @TodayShow. Join us!;NO;
991;My weekend is jam packed. Soup, cider, and kill bill. Party on.;NO;
992;Set on a remote island, BREAK is a celebration of future technology & entrepreneurship http://t.co/r1FdxzCMTD #break http://t.co/DgHKxMCALW;NO;
993;Just a tip...do not pour gasoline on a camp fire with people sitting few feet from it! #holyshit #rollcharliearound #nohairleft;NO;
994;RT @mybringr: Set on a remote island, BREAK is a celebration of future technology & entrepreneurship http://t.co/r1FdxzCMTD #break http://t…;NO;
995;RT @SWAGG_J: On this road to riches niggas bound to miss a few turns/ don''t let the bridges that #Yuu cross turn into bridges #Yuu burn  …;NO;
996;Half of all car trips in the U.S. are under 3 miles. If we walked or bicycled instead, we could save 2.4 billion gallons of fuel annually;NO;
997;If you were a car, what kind of car would you be? — The Blue Falcon http://t.co/yqTjV1Cret;NO;
998;#Boston #News Police Charge Man In New Bedford Murder: NEW BEDFORD (CBS) – New Bedford Police are investigatin... http://t.co/BNHYGsCyVc;NO;
999;@_AlexHirsch what''s the one thing I asked you not to do tonight?! Raise the dead... And what did you do?! Raise the dead...;NO;
1000;Read more about our cover model Sean in his exclusive Fur and Gold interview! http://t.co/med6sk8xfe;NO;
1001;Lmao...the stares these white girls just gave my car while i was pumpin gas had their boyfriends lookin kinda tight...ahahaha!;NO;
